address,main_price,price_per_m2,area
"Санкт-Петербург, р-н Курортный, мкр. Молодёжное, пос. Молодежное",4762700,156978,30.34
"Санкт-Петербург, р-н Курортный, мкр. Песочный, м. Проспект Просвещения, Садовая улица, 81",4918487,184213,26.7
"Санкт-Петербург, р-н Курортный, мкр. Песочный, м. Озерки, Садовая улица, 90",5100000,150000,34.0
"Санкт-Петербург, р-н Курортный, мкр. Молодёжное, пос. Молодежное",8973250,101680,88.25
"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, м. Беговая, улица Максима Горького, 2Ас3",13150000,260396,50.5
"Санкт-Петербург, р-н Курортный, мкр. Репино, Приморское шоссе, 424",35200000,308772,114.0
"Санкт-Петербург, р-н Курортный, мкр. Песочный, м. Проспект Просвещения, Садовая улица, 85",8753416,136134,64.3
"Санкт-Петербург, р-н Курортный, мкр. Молодёжное, пос. Молодежное",5468100,136498,40.06
"Санкт-Петербург, р-н Курортный, мкр. Песочный, м. Проспект Просвещения, Садовая улица, 81",5959404,150871,39.5
"Санкт-Петербург, р-н Курортный, мкр. Песочный, м. Проспект Просвещения, Садовая улица, 81",7326323,136177,53.8
"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, Дубковское шоссе, 77",79000000,331933,238.0
"Санкт-Петербург, р-н Курортный, мкр. Песочный, м. Озерки, Садовая улица, 85",4700000,136906,34.33
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, Приморское шоссе, 549",11912999,184412,64.6
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",3675000,98000,37.5
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, Приморское шоссе, 549",11860999,159422,74.4
"Санкт-Петербург, р-н Курортный, мкр. Репино, м. Беговая, Приморское шоссе, 424",62000000,378973,163.6
"Санкт-Петербург, р-н Курортный, мкр. Репино, м. Проспект Просвещения, Приморское шоссе, 424",35200000,335238,105.0
"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, м. Беговая, Приморское шоссе, 293",7300000,193122,37.8
"Санкт-Петербург, р-н Курортный, мкр. Песочный, Ленинградская улица, 130",3750000,78125,48.0
"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, м. Беговая, Дубковское шоссе, 32",8400000,187919,44.7
"Санкт-Петербург, р-н Курортный, мкр. Песочный, м. Проспект Просвещения, Садовая улица, 90",5100000,134211,38.0
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, Приморское шоссе, 502аА",33000000,438830,75.2
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, Приморское шоссе, 549",10868999,130952,83.0
"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, м. Беговая, улица Максима Горького, 2Ас2",15990000,316634,50.5
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",2425500,105000,23.1
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",5044050,99000,50.95
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",7179900,91000,78.9
"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, м. Беговая, дорога Таможенная, 11к1с4",8900000,202273,44.0
"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, м. Беговая, дорога Таможенная, 11к1с4",18300000,203333,90.0
"Санкт-Петербург, р-н Курортный, мкр. Песочный, м. Проспект Просвещения, Садовая улица, 81",7651311,136387,56.1
"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, м. Старая Деревня, Приморское шоссе, 352",9500000,226190,42.0
"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, улица Николая Соколова, 31",10750000,105911,101.5
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",2425500,105000,23.1
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",2541000,105000,24.2
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",2625000,105000,25.0
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",2688000,105000,25.6
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",2782500,105000,26.5
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",3034500,105000,28.9
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",3192000,105000,30.4
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",3684800,98000,37.6
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",4096400,98000,41.8
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",4322800,107000,40.4
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",4361000,98000,44.5
"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, улица Строителей, 3Б",4459000,98000,45.5
