address,main_price,price_per_m2,area
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",4620600,102000,45.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",3237600,114000,28.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",4226200,113000,37.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",10674000,90000,118.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",2370000,100000,23.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",2576000,112000,23.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",3496500,92500,37.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",3510000,100000,35.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",3674250,103500,35.5
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",4013900,112750,35.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",4669000,80500,58.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",5000000,112032,44.63
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",5611500,87000,64.5
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",6139800,81000,75.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",6359808,101400,62.72
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",6444900,94500,68.2
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",6999788,91250,76.71
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",8020415,81500,98.41
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Советская улица, 64",8593410,81300,105.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, улица Камчатская, 43",3100000,72093,43.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, Уральская улица, 52к3",3600000,76433,47.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, Уральская улица, 46",3900000,62102,62.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, улица Менделеева, 17",3500000,94595,37.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",3323200,124000,26.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",3792750,97500,38.9
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",4030050,100500,40.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к2",4152000,126895,32.72
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, Вишневая улица, 28",2750000,89869,30.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, улица Тургенева, 7",3300000,100917,32.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",4329150,108500,39.9
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",4884800,86000,56.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",6479000,95000,68.2
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",7228000,103895,69.57
