address,main_price,price_per_m2,area
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, вл8",27130612,664966,40.8
"Москва, САО, р-н Войковский, м. Водный стадион, Ленинградское шоссе, 37к1",75000000,320513,234.0
"Москва, САО, р-н Левобережный, м. Планерная, Акватория ЖК",48250000,418002,115.43
"Москва, САО, р-н Левобережный, м. Беломорская, Ленинградское шоссе, 69С10",30300000,313470,96.66
"Москва, САО, р-н Левобережный, м. Беломорская, Акватория ЖК",19000000,298273,63.7
"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9",105000000,285171,368.2
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 40АС2",23976000,270000,88.8
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 35С2",34077680,274820,124.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 35С2",26744400,306000,87.4
"Москва, САО, р-н Беговой, м. Белорусская, Слава ЖК",34055459,513657,66.3
"Москва, САО, р-н Левобережный, м. Речной вокзал, Фестиваль Парк 2 ЖК",37972375,304999,124.5
"Москва, САО, р-н Тимирязевский, м. Дмитровская, Дмитровское шоссе, 1В",25985470,292300,88.9
"Москва, САО, р-н Войковский, м. Войковская, Старопетровский проезд, 8к3",34503000,310000,111.3
"Москва, САО, р-н Беговой, м. Петровский Парк, Ленинградский проспект, 35",25000000,238095,105.0
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский бульвар, к1/6",22826580,236300,96.6
"Москва, САО, р-н Левобережный, м. Беломорская, Фестиваль Парк 2 ЖК",28435219,251862,112.9
"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9",46000000,442308,104.0
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Селигер Сити ЖК",20572380,249000,82.62
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, вл34",133244237,535806,248.68
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе, 40АС2",19860400,287000,69.2
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",80000000,754717,106.0
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",111900000,766438,146.0
"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9к4",95000000,276968,343.0
"Москва, САО, р-н Хорошевский, м. Зорге, улица Зорге, 9к1",41112315,406650,101.1
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",71899000,748948,96.0
"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9",65000000,349462,186.0
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",111897000,766418,146.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 35С2",27025400,326000,82.9
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, вл8",27130612,664966,40.8
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Селигер Сити ЖК",16102400,272000,59.2
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Дмитровское шоссе, 81",29070000,190000,153.0
"Москва, САО, р-н Войковский, м. Войковская, Старопетровский проезд, 8к3",25628000,298000,86.0
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Ильменский проезд, 17к1",16101760,222400,72.4
"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/6",101000000,551913,183.0
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",30900000,561818,55.0
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",59000000,551402,107.0
"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9",300000000,810811,370.0
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",72000000,750000,96.0
"Москва, САО, р-н Хорошевский, м. Хорошевская, 1-я Магистральная улица, 25",18280600,256750,71.2
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",125000000,714286,175.0
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",112000000,767123,146.0
"Москва, САО, р-н Западное Дегунино, м. Ховрино, Ижорская улица, 6С6",13774680,184400,74.7
"Москва, САО, р-н Тимирязевский, м. Дмитровская, Дмитровское шоссе, 1Б",21401640,322800,66.3
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Лобненская улица, 13к3",15926522,203300,78.34
"Москва, САО, р-н Ховрино, м. Речной вокзал, Флотская улица, 7к2",53000000,342377,154.8
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский 9 ЖК, к1/1",14675680,247900,59.2
"Москва, САО, р-н Тимирязевский, м. Лихоборы, 3-й Нижнелихоборский проезд, 1к1",16570780,208700,79.4
"Москва, САО, р-н Западное Дегунино, м. Селигерская",20198400,256000,78.9
"Москва, САО, р-н Левобережный, м. Беломорская, Фестиваль Парк 2 ЖК",18068965,263396,68.6
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, вл34",44354750,362731,122.28
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",92999900,502702,185.0
"Москва, САО, р-н Савеловский, м. Петровский Парк, улица Мишина, 34К1",23800000,280000,85.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 35",25000000,238095,105.0
"Москва, САО, р-н Беговой, м. Белорусская, Бумажный проезд, 4",22000000,385965,57.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, проезд Березовой Рощи, 12",55000000,403818,136.2
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",93000000,502703,185.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",84989000,472161,180.0
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Селигер Сити ЖК",16102400,272000,59.2
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",148000000,311579,475.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",84999000,472217,180.0
"Москва, САО, р-н Хорошевский, м. Зорге, улица Зорге, 9",21261000,325889,65.24
"Москва, САО, р-н Беговой, м. Белорусская, улица 3-я Ямского Поля, 9",164780000,550000,299.6
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, вл8",21545008,677516,31.8
"Москва, САО, р-н Войковский, м. Водный стадион, улица Адмирала Макарова, 6С6",13505400,246000,54.9
"Москва, САО, р-н Хорошевский, м. ЦСКА, Ходынский бульвар, 9",53000000,381295,139.0
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский 14 ЖК, к1.1",17267200,243200,71.0
"Москва, САО, р-н Аэропорт, м. Сокол, Ленинградский проспект, 76К1",43500000,356557,122.0
"Москва, САО, р-н Хорошевский, м. Полежаевская, проезд Березовой Рощи, 12",37700000,364956,103.3
"Москва, САО, р-н Хорошевский, м. Полежаевская, проезд Березовой Рощи, 12",37900000,354206,107.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, проезд Березовой Рощи, 12",25500000,399687,63.8
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к3",33500000,465278,72.0
