address,main_price,price_per_m2,area
"Москва, СВАО, р-н Лосиноостровский, м. Бабушкинская, Минусинская улица, 11",7430000,278277,26.7
"Москва, СВАО, р-н Ростокино, м. Ростокино, проспект Мира, 188Бк4",27222109,196266,138.7
"Москва, СВАО, р-н Марфино, м. Телецентр, улица Академика Королева, 21",58720000,479504,122.46
"Москва, СВАО, р-н Марфино, м. Телецентр, улица Академика Королева, 21",51930000,486965,106.64
"Москва, СВАО, р-н Ростокино, м. Ростокино, проспект Мира, 188Бк4",24435612,224799,108.7
"Москва, СВАО, р-н Останкинский, м. Алексеевская, АйЛав ЖК",32100640,286000,112.24
"Москва, СВАО, р-н Марьина роща, м. Савеловская, Шереметьевский ЖК",22329732,224600,99.42
"Москва, СВАО, р-н Бутырский, м. Бутырская, Руставели 14 ЖК, к1/3",24993360,208800,119.7
"Москва, СВАО, р-н Ростокино, м. Улица Сергея Эйзенштейна, Режиссер ЖК",75359680,433600,173.8
"Москва, СВАО, р-н Лосиноостровский, м. Бабушкинская, улица Коминтерна, 15",19561120,286400,68.3
"Москва, СВАО, р-н Марфино, м. Телецентр, улица Академика Королева, 21",26430000,433137,61.02
"Москва, СВАО, р-н Свиблово, м. Ботанический сад, проезд Серебрякова, 11к1",29548640,260800,113.3
"Москва, СВАО, р-н Останкинский, м. Ботанический сад, Сельскохозяйственная улица, 35к7",20762151,266900,77.79
"Москва, СВАО, р-н Останкинский, м. Алексеевская, АйЛав ЖК",28233120,262000,107.76
"Москва, СВАО, р-н Бабушкинский, м. Свиблово, Кольская улица, 8к1",17047920,226400,75.3
"Москва, СВАО, р-н Марьина роща, м. Марьина роща, Складочная улица, 6к12",22398439,231700,96.67
"Москва, СВАО, р-н Отрадное, м. Владыкино, Сигнальный 16 ЖК, к1/1",14650640,199600,73.4
"Москва, СВАО, р-н Южное Медведково, м. Бабушкинская, Полярная улица, 27к1",18131880,230100,78.8
"Москва, СВАО, р-н Бутырский, м. Бутырская, Руставели 14 ЖК, к1/3",18400480,234700,78.4
"Москва, СВАО, р-н Ростокино, м. Улица Сергея Эйзенштейна, Режиссер ЖК",28206720,298800,94.4
"Москва, СВАО, р-н Марфино, м. Телецентр, улица Академика Королева, 21",14480000,396821,36.49
"Москва, СВАО, р-н Лосиноостровский, м. Бабушкинская, улица Коминтерна, 15",18100780,252100,71.8
"Москва, СВАО, р-н Свиблово, м. Ботанический сад, проезд Серебрякова, 11к1",23551990,293300,80.3
"Москва, СВАО, р-н Останкинский, м. Ботанический сад, Сельскохозяйственная улица, 35к7",18461388,250800,73.61
"Москва, СВАО, р-н Лосиноостровский, м. Бабушкинская, Минусинская улица, 11",5040000,296471,17.0
"Москва, СВАО, р-н Южное Медведково, м. Медведково, Полярная 25 ЖК, к3",12650400,200800,63.0
"Москва, СВАО, р-н Марьина роща, м. Савеловская, Складочная улица, 6С31",14877000,270000,55.1
"Москва, СВАО, р-н Останкинский, м. Алексеевская, АйЛав ЖК",19557860,343000,57.02
"Москва, СВАО, р-н Лосиноостровский, м. Бабушкинская, Минусинская улица, 11",7430000,278277,26.7
"Москва, СВАО, р-н Марфино, м. Владыкино, Ботаническая улица, 41К7",6500000,351351,18.5
"Москва, СВАО, р-н Отрадное, м. Владыкино, Сигнальный 16 ЖК, к1/1",9771840,234900,41.6
"Москва, СВАО, р-н Бабушкинский, м. Свиблово, Кольская улица, 8к1",15871980,234100,67.8
"Москва, СВАО, р-н Северный, м. Алтуфьево, Дмитровское шоссе, 122Гк1",18600000,207589,89.6
"Москва, СВАО, р-н Лосиноостровский, м. Бабушкинская, Минусинская улица, 11",7080000,276563,25.6
"Москва, СВАО, р-н Ярославский, м. Ростокино, улица Ротерта, 11",11800000,221805,53.2
"Москва, СВАО, р-н Бабушкинский, м. Бабушкинская, улица Летчика Бабушкина, 41",9900000,260526,38.0
"Москва, СВАО, р-н Свиблово, м. Ботанический сад, проезд Серебрякова, 11к4",18292400,194600,94.0
"Москва, СВАО, р-н Лосиноостровский, м. Бабушкинская, улица Коминтерна, 15",12187950,289500,42.1
"Москва, СВАО, р-н Останкинский, м. Ботанический сад, Сельскохозяйственная улица, 35к7",13452097,339100,39.67
"Москва, СВАО, р-н Бутырский, м. Бутырская, Руставели 14 ЖК, к1/3",16075440,242100,66.4
"Москва, СВАО, р-н Свиблово, м. Ботанический сад, проезд Серебрякова, 11-13к1",22820490,293700,77.7
"Москва, СВАО, р-н Ростокино, м. Улица Сергея Эйзенштейна, Режиссер ЖК",23815120,395600,60.2
"Москва, СВАО, р-н Марфино, м. Телецентр, улица Академика Королева, 21",12950000,530955,24.39
"Москва, СВАО, р-н Останкинский, м. Алексеевская, АйЛав ЖК",15903750,375000,42.41
"Москва, СВАО, р-н Бабушкинский, м. Свиблово, Кольская улица, 8к1",9209600,287800,32.0
"Москва, СВАО, р-н Южное Медведково, м. Медведково, Полярная 25 ЖК, к3",9676130,241300,40.1
"Москва, СВАО, р-н Марьина роща, м. Савеловская, Шереметьевский ЖК",10881904,299200,36.37
